address	type	source	name
002003f8	Label	DEFAULT	LAB_002003f8
00200410	Label	DEFAULT	LAB_00200410
00200428	Label	DEFAULT	LAB_00200428
00200440	Label	DEFAULT	LAB_00200440
00200458	Label	DEFAULT	LAB_00200458
00200470	Label	DEFAULT	LAB_00200470
00200488	Label	DEFAULT	LAB_00200488
002004a0	Label	DEFAULT	LAB_002004a0
002005a0	Label	DEFAULT	LAB_002005a0
002005c0	Label	DEFAULT	LAB_002005c0
00200608	Function	IMPORTED	bossDmaFromSpr
00200628	Function	IMPORTED	bossTurtleCpu
00200630	Function	IMPORTED	bossTurtleGs
00200638	Function	IMPORTED	bossMainLoop
00200698	Label	DEFAULT	LAB_00200698
002006e8	Label	DEFAULT	LAB_002006e8
0020072c	Label	DEFAULT	LAB_0020072c
00200740	Label	DEFAULT	LAB_00200740
00200744	Label	DEFAULT	LAB_00200744
0020075c	Label	DEFAULT	LAB_0020075c
002008b8	Label	DEFAULT	LAB_002008b8
00200a18	Label	DEFAULT	LAB_00200a18
00200a2c	Label	DEFAULT	LAB_00200a2c
00200ae4	Label	DEFAULT	LAB_00200ae4
00200b8c	Label	DEFAULT	LAB_00200b8c
00200be0	Label	DEFAULT	LAB_00200be0
00200c40	Function	IMPORTED	bossScreenDump
00200c48	Function	IMPORTED	cpuMain
00200c90	Label	DEFAULT	LAB_00200c90
00200cd8	Label	DEFAULT	LAB_00200cd8
00200d14	Label	DEFAULT	LAB_00200d14
00200d5c	Label	DEFAULT	LAB_00200d5c
00200d90	Label	DEFAULT	LAB_00200d90
00200d9c	Label	DEFAULT	LAB_00200d9c
00200da0	Label	DEFAULT	LAB_00200da0
00200db8	Label	DEFAULT	LAB_00200db8
00200e38	Label	DEFAULT	LAB_00200e38
00200e5c	Label	DEFAULT	LAB_00200e5c
00200e88	Label	DEFAULT	LAB_00200e88
00200e90	Label	DEFAULT	LAB_00200e90
00200ea0	Label	DEFAULT	LAB_00200ea0
00200eec	Label	DEFAULT	LAB_00200eec
00200f10	Function	IMPORTED	lockupalarm
00200f20	Function	IMPORTED	gsMain
00200f50	Label	DEFAULT	LAB_00200f50
00200f54	Label	DEFAULT	LAB_00200f54
00201018	Label	DEFAULT	LAB_00201018
00201090	Label	DEFAULT	LAB_00201090
002010ec	Label	DEFAULT	LAB_002010ec
00201110	Label	DEFAULT	LAB_00201110
00201130	Label	DEFAULT	LAB_00201130
00201198	Function	IMPORTED	vblIntHandler
002011ec	Label	DEFAULT	LAB_002011ec
00201200	Label	DEFAULT	LAB_00201200
00201204	Label	DEFAULT	LAB_00201204
00201260	Label	DEFAULT	LAB_00201260
002012a0	Label	DEFAULT	LAB_002012a0
002012c8	Label	DEFAULT	LAB_002012c8
002012e4	Label	DEFAULT	LAB_002012e4
00201304	Label	DEFAULT	LAB_00201304
00201308	Label	DEFAULT	LAB_00201308
0020130c	Label	DEFAULT	LAB_0020130c
00201330	Function	IMPORTED	gsIntHandler
00201368	Function	IMPORTED	checkstring
00201388	Label	DEFAULT	LAB_00201388
002013a4	Label	DEFAULT	LAB_002013a4
002013a8	Label	DEFAULT	LAB_002013a8
002013b0	Function	IMPORTED	main
00201438	Label	DEFAULT	LAB_00201438
00201490	Label	DEFAULT	LAB_00201490
00201514	Label	DEFAULT	LAB_00201514
00201540	Label	DEFAULT	LAB_00201540
00201558	Label	DEFAULT	LAB_00201558
0020158c	Label	DEFAULT	LAB_0020158c
00201590	Label	DEFAULT	LAB_00201590
002015c8	Label	DEFAULT	LAB_002015c8
00201610	Label	DEFAULT	LAB_00201610
00201640	Label	DEFAULT	LAB_00201640
00201654	Label	DEFAULT	LAB_00201654
0020165c	Label	DEFAULT	LAB_0020165c
00201660	Label	DEFAULT	LAB_00201660
00201668	Label	DEFAULT	LAB_00201668
0020166c	Label	DEFAULT	LAB_0020166c
002016a0	Label	DEFAULT	LAB_002016a0
002016b8	Label	DEFAULT	LAB_002016b8
002016bc	Label	DEFAULT	LAB_002016bc
002016d4	Label	DEFAULT	LAB_002016d4
002016f8	Label	DEFAULT	LAB_002016f8
00201718	Label	DEFAULT	LAB_00201718
00201740	Label	DEFAULT	LAB_00201740
00201760	Label	DEFAULT	LAB_00201760
00201778	Label	DEFAULT	LAB_00201778
00201798	Label	DEFAULT	LAB_00201798
00201810	Label	DEFAULT	LAB_00201810
00201880	Function	IMPORTED	clearvram
00201a60	Function	IMPORTED	memMark
00201a88	Label	DEFAULT	LAB_00201a88
00201ab4	Label	DEFAULT	LAB_00201ab4
00201ac0	Function	IMPORTED	memCheck
00201b24	Label	DEFAULT	LAB_00201b24
00201b2c	Label	DEFAULT	LAB_00201b2c
00201b38	Function	IMPORTED	memMake
00201ba8	Function	IMPORTED	memRestart
00201bb0	Function	IMPORTED	memReset
00201c10	Function	IMPORTED	memEnd
00201c2c	Label	DEFAULT	LAB_00201c2c
00201c38	Function	IMPORTED	memAlloc
00201c68	Label	DEFAULT	LAB_00201c68
00201c78	Label	DEFAULT	LAB_00201c78
00201c94	Label	DEFAULT	LAB_00201c94
00201cd0	Label	DEFAULT	LAB_00201cd0
00201ce8	Label	DEFAULT	LAB_00201ce8
00201cfc	Label	DEFAULT	LAB_00201cfc
00201d14	Label	DEFAULT	LAB_00201d14
00201d24	Label	DEFAULT	LAB_00201d24
00201d28	Label	DEFAULT	LAB_00201d28
00201d38	Function	IMPORTED	memAllocAlign64
00201d64	Label	DEFAULT	LAB_00201d64
00201d90	Label	DEFAULT	LAB_00201d90
00201db8	Label	DEFAULT	LAB_00201db8
00201dbc	Label	DEFAULT	LAB_00201dbc
00201dd0	Function	IMPORTED	memFree
00201e04	Label	DEFAULT	LAB_00201e04
00201e0c	Label	DEFAULT	LAB_00201e0c
00201e20	Label	DEFAULT	LAB_00201e20
00201e50	Function	IMPORTED	memLocalFree
00201e70	Function	IMPORTED	memGetFreeLevel
00201e80	Function	IMPORTED	memGetFreeEter
00201e90	Function	IMPORTED	memPrintFree
00201e98	Function	IMPORTED	memdbRestart
00201ed4	Label	DEFAULT	LAB_00201ed4
00201ef8	Function	IMPORTED	memdbReset
00201f38	Label	DEFAULT	LAB_00201f38
00201f50	Function	IMPORTED	memdbTick
00201f60	Label	DEFAULT	LAB_00201f60
00201f78	Function	IMPORTED	memdbAlloc
00201f98	Function	IMPORTED	memdbPrintFree
00201fa8	Function	IMPORTED	textPreload
00202004	Label	DEFAULT	LAB_00202004
00202010	Function	IMPORTED	textRestart
00202084	Label	DEFAULT	LAB_00202084
002020b0	Function	IMPORTED	textReset
002020f0	Label	DEFAULT	LAB_002020f0
00202130	Label	DEFAULT	LAB_00202130
00202154	Label	DEFAULT	LAB_00202154
00202160	Label	DEFAULT	LAB_00202160
00202194	Label	DEFAULT	LAB_00202194
002021a0	Label	DEFAULT	LAB_002021a0
002021d4	Label	DEFAULT	LAB_002021d4
002021e0	Label	DEFAULT	LAB_002021e0
00202214	Label	DEFAULT	LAB_00202214
00202220	Label	DEFAULT	LAB_00202220
00202254	Label	DEFAULT	LAB_00202254
0020225c	Label	DEFAULT	LAB_0020225c
00202268	Function	IMPORTED	textEnd
00202270	Function	IMPORTED	textSelect
002022a8	Function	IMPORTED	GetXOffset
002022e0	Label	DEFAULT	LAB_002022e0
002022e8	Label	DEFAULT	LAB_002022e8
0020230c	Label	DEFAULT	LAB_0020230c
00202310	Label	DEFAULT	LAB_00202310
00202364	Label	DEFAULT	LAB_00202364
00202368	Label	DEFAULT	LAB_00202368
002023a8	Label	DEFAULT	LAB_002023a8
002023b0	Function	IMPORTED	textOutline
002024f0	Function	IMPORTED	textPrint
00202568	Label	DEFAULT	LAB_00202568
00202590	Label	DEFAULT	LAB_00202590
002025c8	Label	DEFAULT	LAB_002025c8
00202698	Label	DEFAULT	LAB_00202698
002026a4	Label	DEFAULT	LAB_002026a4
002026c0	Label	DEFAULT	LAB_002026c0
002026c4	Label	DEFAULT	LAB_002026c4
00202718	Label	DEFAULT	LAB_00202718
00202724	Label	DEFAULT	LAB_00202724
00202730	Label	DEFAULT	LAB_00202730
00202740	Label	DEFAULT	LAB_00202740
0020275c	Label	DEFAULT	LAB_0020275c
00202760	Label	DEFAULT	LAB_00202760
00202768	Label	DEFAULT	LAB_00202768
00202778	Label	DEFAULT	LAB_00202778
0020277c	Label	DEFAULT	LAB_0020277c
002027e0	Label	DEFAULT	LAB_002027e0
00202828	Label	DEFAULT	LAB_00202828
00202844	Label	DEFAULT	LAB_00202844
00202848	Label	DEFAULT	LAB_00202848
0020284c	Label	DEFAULT	LAB_0020284c
00202850	Label	DEFAULT	LAB_00202850
002028d0	Label	DEFAULT	LAB_002028d0
002028d4	Label	DEFAULT	LAB_002028d4
0020292c	Label	DEFAULT	LAB_0020292c
00202990	Label	DEFAULT	LAB_00202990
00202994	Label	DEFAULT	LAB_00202994
00202998	Label	DEFAULT	LAB_00202998
002029a4	Label	DEFAULT	LAB_002029a4
002029a8	Label	DEFAULT	LAB_002029a8
002029d4	Label	DEFAULT	LAB_002029d4
00202a04	Label	DEFAULT	LAB_00202a04
00202a38	Function	IMPORTED	textWidth
00202a60	Function	IMPORTED	textHeight
00202a88	Function	IMPORTED	textSize
00202afc	Label	DEFAULT	LAB_00202afc
00202b20	Label	DEFAULT	LAB_00202b20
00202b4c	Label	DEFAULT	LAB_00202b4c
00202b5c	Label	DEFAULT	LAB_00202b5c
00202b6c	Label	DEFAULT	LAB_00202b6c
00202b78	Label	DEFAULT	LAB_00202b78
00202be4	Label	DEFAULT	LAB_00202be4
00202c00	Label	DEFAULT	LAB_00202c00
00202c04	Label	DEFAULT	LAB_00202c04
00202c54	Label	DEFAULT	LAB_00202c54
00202c58	Label	DEFAULT	LAB_00202c58
00202c60	Label	DEFAULT	LAB_00202c60
00202c90	Label	DEFAULT	LAB_00202c90
00202c9c	Label	DEFAULT	LAB_00202c9c
00202ca4	Label	DEFAULT	LAB_00202ca4
00202cac	Label	DEFAULT	LAB_00202cac
00202cb0	Label	DEFAULT	LAB_00202cb0
00202cbc	Label	DEFAULT	LAB_00202cbc
00202cdc	Label	DEFAULT	LAB_00202cdc
00202d08	Label	DEFAULT	LAB_00202d08
00202d18	Label	DEFAULT	LAB_00202d18
00202d28	Label	DEFAULT	LAB_00202d28
00202d58	Function	IMPORTED	replayReset
00202d88	Label	DEFAULT	LAB_00202d88
00202d90	Function	IMPORTED	replayTick
00202dcc	Label	DEFAULT	LAB_00202dcc
00202de0	Label	DEFAULT	LAB_00202de0
00202f08	Label	DEFAULT	LAB_00202f08
00202f58	Label	DEFAULT	LAB_00202f58
00202f80	Label	DEFAULT	LAB_00202f80
00202fa4	Label	DEFAULT	LAB_00202fa4
00202fa8	Label	DEFAULT	LAB_00202fa8
00202fb8	Label	DEFAULT	LAB_00202fb8
00202fbc	Label	DEFAULT	LAB_00202fbc
00202fc8	Label	DEFAULT	LAB_00202fc8
00202ff0	Function	IMPORTED	joyNum
00203008	Label	DEFAULT	LAB_00203008
00203030	Function	IMPORTED	joyUpdatePorts
00203050	Label	DEFAULT	LAB_00203050
00203068	Label	DEFAULT	LAB_00203068
00203074	Label	DEFAULT	LAB_00203074
00203088	Function	IMPORTED	joyFixVal
002030ac	Label	DEFAULT	LAB_002030ac
002030c8	Label	DEFAULT	LAB_002030c8
