entry	end	size	name	prototype
002cdd50	002cdd57	8	timerEnd	undefined timerEnd()
002cdd58	002cddbf	104	timerRelease	undefined timerRelease()
002cddc0	002cddc7	8	ilinkMake	undefined ilinkMake()
002cddc8	002cddcf	8	ilinkConnect	undefined ilinkConnect()
002cddd0	002cddd7	8	ilinkTick	undefined ilinkTick()
002cddd8	002cdddf	8	ilinkOKToTick	undefined ilinkOKToTick()
002cdde0	002cdde7	8	ilinkGetNumLocalPlayers	undefined ilinkGetNumLocalPlayers()
002cdde8	002cddef	8	ilinkSetNumLocalPlayers	undefined ilinkSetNumLocalPlayers()
002cddf0	002cddf7	8	ilinkGetStartLocalPlayerNum	undefined ilinkGetStartLocalPlayerNum()
002cddf8	002cddff	8	ilinkIsILinkGame	undefined ilinkIsILinkGame()
002cde00	002cde07	8	ilinkSetFramesi	undefined ilinkSetFramesi()
002cde08	002cde0f	8	text_data_split	undefined text_data_split()
002cde10	002cdf4f	320	sceGsResetGraph	undefined sceGsResetGraph()
002cdf50	002cdf5b	12	sceGsGetGParam	undefined sceGsGetGParam()
002cdf60	002cdfc7	104	sceGsResetPath	undefined sceGsResetPath()
002cdfc8	002ce273	684	sceGsSetDefDBuff	undefined sceGsSetDefDBuff()
002ce278	002ce2d3	92	sceGsSwapDBuff	undefined sceGsSwapDBuff()
002ce2d8	002ce36b	148	sceGsSyncV	undefined sceGsSyncV()
002ce370	002ce683	788	sceGsSyncPath	undefined sceGsSyncPath()
002ce688	002ce86b	484	sceGsSetDefLoadImage	undefined sceGsSetDefLoadImage()
002ce870	002ce8ab	60	sceGsPutIMR	undefined sceGsPutIMR()
002ce8b0	002ce937	136	sceGsSetHalfOffset	undefined sceGsSetHalfOffset()
002ce938	002ce953	28	sceGsGetIMR	undefined sceGsGetIMR()
002ce958	002cebb7	608	sceGsSetDefDispEnv	undefined sceGsSetDefDispEnv()
002cebb8	002cec73	188	sceGsPutDispEnv	undefined sceGsPutDispEnv()
002cec78	002ced3f	200	sceGszbufaddr	undefined sceGszbufaddr()
002ced40	002cef23	484	sceGsSetDefDrawEnv	undefined sceGsSetDefDrawEnv()
002cef28	002cf02b	260	sceGsSetDefClear	undefined sceGsSetDefClear()
002cf030	002cf117	232	sceGsPutDrawEnv	undefined sceGsPutDrawEnv()
002cf118	002cf14b	52	memclr	undefined memclr()
002cf150	002cf177	40	sceDmaGetChan	undefined sceDmaGetChan()
002cf178	002cf253	220	sceDmaReset	undefined sceDmaReset()
002cf258	002cf267	16	sceDmaDebug	undefined sceDmaDebug()
002cf268	002cf43f	472	sceDmaPutEnv	undefined sceDmaPutEnv()
002cf440	002cf477	56	sceDmaGetEnv	undefined sceDmaGetEnv()
002cf478	002cf49f	40	sceDmaPutStallAddr	undefined sceDmaPutStallAddr()
002cf4a0	002cf577	216	sceDmaSend	undefined sceDmaSend()
002cf578	002cf65b	228	sceDmaSendN	undefined sceDmaSendN()
002cf660	002cf743	228	sceDmaSendI	undefined sceDmaSendI()
002cf748	002cf80b	196	sceDmaRecv	undefined sceDmaRecv()
002cf810	002cf8fb	236	sceDmaRecvN	undefined sceDmaRecvN()
002cf900	002cf9ef	240	sceDmaRecvI	undefined sceDmaRecvI()
002cf9f0	002cf9fb	12	sceDmaSendM	undefined sceDmaSendM()
002cfa00	002cfac3	196	sceDmaSync	undefined sceDmaSync()
002cfac8	002cfb97	208	sceDmaWatch	undefined sceDmaWatch()
002cfb98	002cfbbb	36	sceDmaSyncN	undefined sceDmaSyncN()
002cfbc0	002cfbcb	12	sceDmaLastSyncTime	undefined sceDmaLastSyncTime()
002cfbd0	002cfbeb	28	sceDmaPause	undefined sceDmaPause()
002cfbf0	002cfc0b	28	sceDmaRestart	undefined sceDmaRestart()
002cfc10	002cfc33	36	sceDmaCallback	undefined sceDmaCallback()
002cfc38	002cfc47	16	sceGifPkInit	undefined sceGifPkInit()
002cfc48	002cfc57	16	sceGifPkReset	undefined sceGifPkReset()
002cfc58	002cfcbb	100	sceGifPkTerminate	undefined sceGifPkTerminate()
002cfcc0	002cfcd3	20	sceGifPkSize	undefined sceGifPkSize()
