path	length	kind	description
FIELD	484	264	__sf	/__sFILE[3]
/_reent *	4	PointerDB	pointer to _reent
/_reent___new	240	UnionDB	
FIELD	0	76	_reent	/_reent___new___reent
FIELD	0	240	_unused	/_reent___new___unused
/_reent___new___reent	76	StructureDB	
FIELD	0	4	_rand_next	/unsigned int
FIELD	4	4	_strtok_last	/char *
FIELD	8	26	_asctime_buf	/char[26]
FIELD	36	36	_localtime_buf	/tm
FIELD	72	4	_gamma_signgam	/int
/_reent___new___unused	240	StructureDB	
FIELD	0	120	_nextf	/unsigned char *[30]
FIELD	120	120	_nmalloc	/unsigned int[30]
/_sig_func_ptr	4	TypedefDB	pointer to undefined1
/_ssize_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/_types_fd_set	8	StructureDB	
FIELD	0	8	fds_bits	/fd_mask[1]
/block_move_type	4	EnumDB	
/byte	1	ByteDataType	Unsigned Byte (db)
/byte[7]	7	ArrayDB	Array of Unsigned Byte (db)
/caddr_t	4	TypedefDB	pointer to char
/char	1	CharDataType	Character
/char *	4	PointerDB	pointer to char
/char * *	4	PointerDB	pointer to pointer to char
/char[256]	256	ArrayDB	Array of Character
/char[257]	257	ArrayDB	Array of Character
/char[25]	25	ArrayDB	Array of Character
/char[26]	26	ArrayDB	Array of Character
/char[2]	2	ArrayDB	Array of Character
/char[308]	308	ArrayDB	Array of Character
/char[348]	348	ArrayDB	Array of Character
/char[350]	350	ArrayDB	Array of Character
/char[40]	40	ArrayDB	Array of Character
/char[7]	7	ArrayDB	Array of Character
/clock_t	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/cmp_type	4	EnumDB	
/complex double	8	TypedefDB	Signed Long Integer (compiler-specific size)
/complex float	4	TypedefDB	Compiler-defined 'float' IEEE 754 floating-point type (32-bit / 4-byte format, aligned-length is 4-bytes)
/complex int	8	StructureDB	
FIELD	0	4	real	/int
FIELD	4	4	imag	/int
/complex long double	8	TypedefDB	Signed Long Integer (compiler-specific size)
/CUMULATIVE_ARGS	60	TypedefDB	
/daddr_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/delay_type	4	EnumDB	
/dev_t	2	TypedefDB	Unsigned Short Integer (compiler-specific size)
/DFtype	8	TypedefDB	Signed Long Integer (compiler-specific size)
/DIstruct	8	StructureDB	
FIELD	0	4	low	/SItype
FIELD	4	4	high	/SItype
/DItype	8	TypedefDB	Signed Long Integer (compiler-specific size)
/DIunion	8	UnionDB	
FIELD	0	8	s	/DIstruct
FIELD	0	8	ll	/DItype
/div_t	8	StructureDB	
FIELD	0	4	quot	/int
FIELD	4	4	rem	/int
/double	8	TypedefDB	Signed Long Integer (compiler-specific size)
/double[0]	1	ArrayDB	Array of Signed Long Integer (compiler-specific size)
/double[2]	16	ArrayDB	Array of Signed Long Integer (compiler-specific size)
/double_union	8	UnionDB	
FIELD	0	8	d	/double
FIELD	0	8	i	/__uint32_t[2]
/dword	4	DWordDataType	Unsigned Double-Word (ddw, 4-bytes)
/dword[4]	16	ArrayDB	Array of Unsigned Double-Word (ddw, 4-bytes)
/eflock	48	StructureDB	
FIELD	0	2	l_type	/short int
FIELD	2	2	l_whence	/short int
FIELD	8	8	l_start	/long int
FIELD	16	8	l_len	/long int
FIELD	24	2	l_pid	/short int
FIELD	26	2	l_xxx	/short int
FIELD	32	8	l_rpid	/long int
FIELD	40	8	l_rsys	/long int
/ELF/Elf32_Ehdr	52	StructureDB	
FIELD	0	1	e_ident_magic_num	/byte
FIELD	1	3	e_ident_magic_str	/string
FIELD	4	1	e_ident_class	/byte
FIELD	5	1	e_ident_data	/byte
FIELD	6	1	e_ident_version	/byte
FIELD	7	1	e_ident_osabi	/byte
FIELD	8	1	e_ident_abiversion	/byte
FIELD	9	7	e_ident_pad	/byte[7]
FIELD	16	2	e_type	/word
FIELD	18	2	e_machine	/word
FIELD	20	4	e_version	/dword
FIELD	24	4	e_entry	/dword
FIELD	28	4	e_phoff	/dword
FIELD	32	4	e_shoff	/dword
FIELD	36	4	e_flags	/dword
FIELD	40	2	e_ehsize	/word
FIELD	42	2	e_phentsize	/word
FIELD	44	2	e_phnum	/word
FIELD	46	2	e_shentsize	/word
FIELD	48	2	e_shnum	/word
FIELD	50	2	e_shstrndx	/word
/Elf32_GPRMask_MIPS	4	EnumDB	
/ELF/Elf32_Phdr	32	StructureDB	
FIELD	0	4	p_type	/ELF/Elf_ProgramHeaderType_EE
FIELD	4	4	p_offset	/dword
FIELD	8	4	p_vaddr	/dword
FIELD	12	4	p_paddr	/dword
FIELD	16	4	p_filesz	/dword
FIELD	20	4	p_memsz	/dword
FIELD	24	4	p_flags	/dword
FIELD	28	4	p_align	/dword
/ELF/Elf32_Phdr[1]	32	ArrayDB	Array of 
/ELF/Elf32_RegInfo_MIPS	24	StructureDB	
FIELD	0	4	ri_gprmask	/Elf32_GPRMask_MIPS
FIELD	4	16	null	/dword[4]
FIELD	20	4	ri_gp_value	/dword
/ELF/Elf32_Shdr	40	StructureDB	
FIELD	0	4	sh_name	/dword
FIELD	4	4	sh_type	/ELF/Elf_SectionHeaderType_EE
FIELD	8	4	sh_flags	/dword
FIELD	12	4	sh_addr	/dword
FIELD	16	4	sh_offset	/dword
FIELD	20	4	sh_size	/dword
FIELD	24	4	sh_link	/dword
FIELD	28	4	sh_info	/dword
